Altium Designer Pick and Place Locations
C:\Users\s-fre\Github\wulpus\hw\wulpus_acquisition_pcb\Project Outputs for wulpus_acq_pcb\Pick Place\Pick Place for PCB1(Fabrication_ready).txt

========================================================================================================================
File Design Information:

Date:       17.01.25
Time:       17:41
Revision:   5cd4fb9cbb34e9d9febb728bbc69f99c0eff6a20
Variant:    Fabrication_ready
Units used: mm

Designator Comment                     Layer       Footprint                                                  Center-X(mm) Center-Y(mm) Rotation Description                                                                                                                                                    
C48        CGA3E1X5R1C225K080AC        TopLayer    FP-CGA3E-0_3-0_1-MFG                                       40.3750      12.8500      270      "Cap Ceramic 2.2uF 16V X5R 10% Pad SMD 0603 +85°C Automotive T/R"                                                                                              
C47        CGA3E1X5R1C225K080AC        TopLayer    FP-CGA3E-0_3-0_1-MFG                                       37.8750      7.3250       270      "Cap Ceramic 2.2uF 16V X5R 10% Pad SMD 0603 +85°C Automotive T/R"                                                                                              
C45        C1608X7R1C105K080AC         TopLayer    FP-C1608-080-0_1-IPC_B                                     42.9250      13.1405      270      "Multilayer Ceramic Capacitors 1µF ±10% 16V X7R SMD 0603"                                                                                                      
C44        GRM1555C1H102JA01D          TopLayer    FP-GRM155-0_05-IPC_B                                       44.8500      14.7250      90       "Chip Multilayer Ceramic Capacitors for General Purpose, 0402, 1000pF, C0G, 30ppm/°C, 5%, 50V"                                                                 
C43        C1608X7R1C105K080AC         TopLayer    FP-C1608-080-0_1-IPC_B                                     40.0500      6.4750       180      "Multilayer Ceramic Capacitors 1µF ±10% 16V X7R SMD 0603"                                                                                                      
C42        CC0402KRX7R7BB104           TopLayer    FP-CC0402-MFG                                              39.5750      9.1500       180      "CAP CER 0.1UF 16V X7R 0402"                                                                                                                                   
C41        GJM1555C1H120GB01D          TopLayer    FP-GJM155-0_05-IPC_A                                       42.7714      6.4500       0        "Multi-Layer Ceramic Capacitor 12pF C0G  ±2% 0402 Paper T/R"                                                                                                   
C38        GJM1555C1H120GB01D          BottomLayer FP-GJM155-0_05-IPC_A                                       36.9750      3.4714       90       "Multi-Layer Ceramic Capacitor 12pF C0G  ±2% 0402 Paper T/R"                                                                                                   
C37        GJM1555C1H120GB01D          BottomLayer FP-GJM155-0_05-IPC_A                                       34.9500      3.5036       90       "Multi-Layer Ceramic Capacitor 12pF C0G  ±2% 0402 Paper T/R"                                                                                                   
C36        GJM1555C1H120GB01D          BottomLayer FP-GJM155-0_05-IPC_A                                       43.9786      9.7000       180      "Multi-Layer Ceramic Capacitor 12pF C0G  ±2% 0402 Paper T/R"                                                                                                   
C34        GJM1555C1H120GB01D          BottomLayer FP-GJM155-0_05-IPC_A                                       32.2250      1.7500       0        "Multi-Layer Ceramic Capacitor 12pF C0G  ±2% 0402 Paper T/R"                                                                                                   
C32        GJM1555C1H120GB01D          BottomLayer FP-GJM155-0_05-IPC_A                                       27.8750      4.8036       90       "Multi-Layer Ceramic Capacitor 12pF C0G  ±2% 0402 Paper T/R"                                                                                                   
C33        GJM1555C1H120GB01D          BottomLayer FP-GJM155-0_05-IPC_A                                       43.9786      6.7000       180      "Multi-Layer Ceramic Capacitor 12pF C0G  ±2% 0402 Paper T/R"                                                                                                   
C31        GRM1555C1H102JA01D          BottomLayer FP-GRM155-0_05-IPC_B                                       38.5750      12.2750      270      "Chip Multilayer Ceramic Capacitors for General Purpose, 0402, 1000pF, C0G, 30ppm/°C, 5%, 50V"                                                                 
C29        CC0402KRX7R7BB104           BottomLayer FP-CC0402-MFG                                              38.0250      16.9500      90       "CAP CER 0.1UF 16V X7R 0402"                                                                                                                                   
C28        CC0402KRX7R7BB104           BottomLayer FP-CC0402-MFG                                              27.4000      8.8000       90       "CAP CER 0.1UF 16V X7R 0402"                                                                                                                                   
C27        CC0402KRX7R7BB104           BottomLayer FP-CC0402-MFG                                              37.1250      7.4500       90       "CAP CER 0.1UF 16V X7R 0402"                                                                                                                                   
C26        C1608X7R1C105K080AC         BottomLayer FP-C1608-080-0_1-IPC_B                                     36.7500      18.3750      180      "Multilayer Ceramic Capacitors 1µF ±10% 16V X7R SMD 0603"                                                                                                      
C25        C1608X7R1C105K080AC         BottomLayer FP-C1608-080-0_1-IPC_B                                     26.3750      8.2750       270      "Multilayer Ceramic Capacitors 1µF ±10% 16V X7R SMD 0603"                                                                                                      
C24        C1608X7R1C105K080AC         BottomLayer FP-C1608-080-0_1-IPC_B                                     38.5500      6.5155       270      "Multilayer Ceramic Capacitors 1µF ±10% 16V X7R SMD 0603"                                                                                                      
C23        GRM1555C1H102JA01D          BottomLayer FP-GRM155-0_05-IPC_B                                       38.5750      14.0000      270      "Chip Multilayer Ceramic Capacitors for General Purpose, 0402, 1000pF, C0G, 30ppm/°C, 5%, 50V"                                                                 
C22        C2012X5R1A336M125AC         BottomLayer FP-C2012-125-0_2-IPC_A                                     41.2250      16.0500      180      "Multilayer Ceramic Capacitors 33µF ±20% 10V X5R SMD 0805"                                                                                                     
C17        GJM1555C1HR80WB01D          BottomLayer FP-GJM155-0_05-IPC_A                                       10.3500      11.0900      90       "Multi-Layer Ceramic Capacitor 0.8pF C0G  ±0.05pF 0402 Paper T/R"                                                                                              
C21        GJM1555C1H120GB01D          BottomLayer FP-GJM155-0_05-IPC_A                                       7.6000       15.2250      90       "Multi-Layer Ceramic Capacitor 12pF C0G  ±2% 0402 Paper T/R"                                                                                                   
C20        GJM1555C1H120GB01D          BottomLayer FP-GJM155-0_05-IPC_A                                       23.8500      15.1536      270      "Multi-Layer Ceramic Capacitor 12pF C0G  ±2% 0402 Paper T/R"                                                                                                   
C19        GJM1555C1H120GB01D          BottomLayer FP-GJM155-0_05-IPC_A                                       21.1250      15.1536      270      "Multi-Layer Ceramic Capacitor 12pF C0G  ±2% 0402 Paper T/R"                                                                                                   
C18        GJM1555C1H120GB01D          BottomLayer FP-GJM155-0_05-IPC_A                                       9.2000       17.1250      180      "Multi-Layer Ceramic Capacitor 12pF C0G  ±2% 0402 Paper T/R"                                                                                                   
C16        CC0402KRX7R7BB104           BottomLayer FP-CC0402-MFG                                              18.9250      7.6750       0        "CAP CER 0.1UF 16V X7R 0402"                                                                                                                                   
C15        CC0402KRX7R7BB104           BottomLayer FP-CC0402-MFG                                              11.7250      14.5500      180      "CAP CER 0.1UF 16V X7R 0402"                                                                                                                                   
C14        EMK107ABJ475KA-T            BottomLayer FP-0603-L_1_6_0_15-W_0_8-IPC_A                             18.9750      16.2772      90       None                                                                                                                                                           
C13        C1608X7R1C105K080AC         BottomLayer FP-C1608-080-0_1-IPC_B                                     16.2000      17.0094      270      "Multilayer Ceramic Capacitors 1µF ±10% 16V X7R SMD 0603"                                                                                                      
C12        04025A101JAT2A              BottomLayer FP-04025A101JAT2A-MFG                                      9.6250       13.3250      0        "CAP CER 100PF 50V C0G/NP0 0402"                                                                                                                               
C10        CC0402KRX7R7BB104           BottomLayer FP-CC0402-MFG                                              19.4750      13.2500      0        "CAP CER 0.1UF 16V X7R 0402"                                                                                                                                   
C8         C1608X5R1A106K080AC         BottomLayer FP-C1608-080-MFG                                           8.0000       20.0250      270      "CAP CER 10UF 10V X5R 0603"                                                                                                                                    
C7         CC0402KRX5R5BB105           TopLayer    FP-CC0402-MFG                                              8.2250       14.4000      270      "CAP CER 1UF 6.3V X5R 0402"                                                                                                                                    
C6         C1005X5R1E474K050BB         TopLayer    CAPC1050X55X10LL05                                         7.3250       14.4000      90       "Chip Capacitor, 0.47 uF, +/- 10%, 25 V, -55 to 85 degC, 0402 (1005 Metric), RoHS, Tape and Reel"                                                              
C4         C1608X5R1A106K080AC         TopLayer    FP-C1608-080-MFG                                           15.9500      15.7500      0        "CAP CER 10UF 10V X5R 0603"                                                                                                                                    
C3         EMK107ABJ475KA-T            TopLayer    FP-0603-L_1_6_0_15-W_0_8-IPC_A                             17.5750      16.7550      270      None                                                                                                                                                           
C2         EMK107ABJ475KA-T            TopLayer    FP-0603-L_1_6_0_15-W_0_8-IPC_A                             19.1300      20.8411      90       None                                                                                                                                                           
C1         C1608X5R1A106K080AC         TopLayer    FP-C1608-080-MFG                                           23.6750      20.7250      90       "CAP CER 10UF 10V X5R 0603"                                                                                                                                    
